ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11710627	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with tap water	11710627	11710627
FNDDS_11710628	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with plain bottled water	11710628	11710628
FNDDS_11710629	Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with baby water	11710629	11710629
FNDDS_11710630	Enfamil PREMIUM Infant, infant formula, NS as to form	11710630	11710630
FNDDS_11710631	Enfamil PREMIUM Infant, infant formula, ready-to-feed	11710631	11710631
FNDDS_11710632	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with water, NFS	11710632	11710632
FNDDS_11710633	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with tap water	11710633	11710633
FNDDS_11710634	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with plain bottled water	11710634	11710634
FNDDS_11710635	Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with baby water	11710635	11710635
FNDDS_11710636	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with water, NFS	11710636	11710636
FNDDS_11710637	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with tap water	11710637	11710637
FNDDS_11710638	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with plain bottled water	11710638	11710638
FNDDS_11710639	Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water	11710639	11710639
FNDDS_11710640	Enfamil PREMIUM LIPIL, infant formula, NS as to form	11710640	11710640
FNDDS_11710642	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	11710642	11710642
FNDDS_11710643	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with water, NFS	11710643	11710643
FNDDS_11710644	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water	11710644	11710644
FNDDS_11710645	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	11710645	11710645
FNDDS_11710646	Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water	11710646	11710646
FNDDS_11710647	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water	11710647	11710647
FNDDS_11710648	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with plain bottled water	11710648	11710648
FNDDS_11710649	Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with baby water	11710649	11710649
FNDDS_11710650	Enfamil LIPIL, infant formula, NS as to form	11710650	11710650
FNDDS_11710651	Enfamil LIPIL, infant formula, ready-to-feed	11710651	11710651
FNDDS_11710652	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS	11710652	11710652
FNDDS_11710653	Enfamil LIPIL, infant formula, prepared from powder, made with water, NFS	11710653	11710653
FNDDS_11710654	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water	11710654	11710654
FNDDS_11710655	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water	11710655	11710655
FNDDS_11710656	Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water	11710656	11710656
FNDDS_11710657	Enfamil LIPIL, infant formula, prepared from powder, made with tap water	11710657	11710657
FNDDS_11710658	Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water	11710658	11710658
FNDDS_11710659	Enfamil LIPIL, infant formula, prepared from powder, made with baby water	11710659	11710659
FNDDS_11710660	Enfamil A.R. Lipil, infant formula, NS as to form	11710660	11710660
FNDDS_11710661	Enfamil A.R. Lipil, infant formula, ready-to-feed	11710661	11710661
FNDDS_11710663	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with water, NFS	11710663	11710663
FNDDS_11710664	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with tap water	11710664	11710664
FNDDS_11710665	Enfamil EnfaCare LIPIL, infant formula, NS as to form	11710665	11710665
FNDDS_11710666	Enfamil EnfaCare LIPIL, infant formula, ready-to-feed	11710666	11710666
FNDDS_11710667	Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with water, NFS	11710667	11710667
FNDDS_11710668	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with plain bottled water	11710668	11710668
FNDDS_11710669	Enfamil A.R. LIPIL, infant formula, prepared from powder, made with baby water	11710669	11710669
FNDDS_11710670	Enfamil Gentlease LIPIL, infant formula, NS as to form	11710670	11710670
FNDDS_11710671	Enfamil Gentlease LIPIL, infant formula, ready-to-feed	11710671	11710671
FNDDS_11710673	Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with water, NFS	11710673	11710673
