ID	LABEL	SR26	SR27	SR28
SR_3136	Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained	3136	3136	3136
SR_3137	Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior	3137	3137	3137
SR_3139	Babyfood, prunes, without vitamin c, strained	3139	3139	3139
SR_3140	Babyfood, fruit dessert, mango with tapioca	3140	3140	3140
SR_3141	Babyfood, pears, dices, toddler	3141	3141	3141
SR_3142	Babyfood, fruit, applesauce and apricots, strained	3142	3142	3142
SR_3143	Babyfood, fruit, applesauce and apricots, junior	3143	3143	3143
SR_3144	Babyfood, fruit, applesauce and cherries, strained	3144	3144	3144
SR_3145	Babyfood, fruit, applesauce and cherries, junior	3145	3145	3145
SR_3147	Babyfood, fruit, applesauce with banana, junior	3147	3147	3147
